"id","section_id","title","order_number","url","description_id"
"13d56662-7e84-488c-9b49-dad9b59d14ec","2b4b56cc-97fe-4211-b3e8-3c175ef37532","Предизвикателство #11","80",,"1a625369-2a05-415e-b4e9-1e610ddee15a"
"142907d9-06c9-436d-9d0f-48d3fa2b7928","2b4b56cc-97fe-4211-b3e8-3c175ef37532","Опционално свързване(?.)","72","https://www.loom.com/embed/15a40afbaebe480e9fc08facedbd6d13?sid=5b56451b-ea49-4f3f-a2a6-ef3f1653fc5a","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"166826d0-25e1-409e-99fe-861323c2c207","8c25c482-89ab-4138-bdc3-778f6d92904e","Версии на JavaScript: ES5, ES6+ и ESNext","23","https://www.loom.com/embed/21473314bf9549bc990ae1cd725f10a5?sid=1ab55489-e058-4204-98b0-aa44f4da158c","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"16883096-ea46-4e53-b21f-d4379f08baab","9b649395-a843-45bf-b3bb-849884262530","Портфолио проект #2 (подобряване на #1)","52","https://www.loom.com/embed/302d49a1de4449ddb33793d5c973d290?sid=4e41953f-be61-447e-94c6-627332826aef","f1ccb3b6-fdc1-4357-88a4-6a0ebcf1dc45"
"16c0a42d-e822-4c6a-8eb6-551ae0c6d0c5","13e1047d-4530-4c0a-887b-c43de1b48a19","Структуриране на приложението","8","https://www.loom.com/embed/6073f6a970ed40e39bb47bedd11a63d3?sid=451d066c-3863-4534-b437-f81d9d3baa9e","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"16f88947-fb49-4a94-bf8e-f496a4ffc239","172a1e1e-6ea5-4223-a0e8-e443183f820b","Справка за събитията в JavaScript","12",,"4d31efd7-b6ac-456b-a773-20b5795b865e"
"1741bace-f731-4dd0-bef4-ecc559d1e34b","bf7c2023-a1ce-433c-801c-750caf99ebfa","Основни оператори","6","https://www.loom.com/embed/847ea7a01c1343aebb12b17e6940f913?sid=0fe78b6a-6f5c-4034-8e8c-4709deb21a10","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"186be69b-1084-480d-a57c-7546e815688e","dcb2bdf7-1cb0-413a-9686-47a77c82d5c9","CSS Tricks","29",,"61f4d66d-5acd-416d-8ae5-e344f6e195ed"
"189fa804-957c-43a6-9a0b-a48274170e21","cdb18736-9ed1-4ad9-a6d1-f623ec08ed43","DOM манипулации","39","https://www.loom.com/embed/72a8fb6c17034facaf6d7e259dbb783d?sid=f9479ada-0773-47d7-8bad-831cac01acaa","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
"18fdb1a0-1430-4daf-bd72-1212bef89f27","bf7c2023-a1ce-433c-801c-750caf99ebfa","Свързване на JavaScript файл","3","https://www.loom.com/embed/38e49a3cea1b4c33bb57f731b51da50f?sid=08293423-ee29-4b68-a3c8-ce8aa69303d2","4d64e479-1ddf-4e5f-a03d-c2f0e547f0bb"
