"id","title","description","access","order_number","image_url"
"1a6bcd48-daee-4100-8138-99b67c64b964","Junior Web Developer - Обмяна на опит","1:1 среща с кариерист и обмени опит.","free","7","https://ozwkuahulnwluilmnjjr.supabase.co/storage/v1/object/public/Application%20Images/modules/third-row-2.png"
"2095ed9e-adeb-4163-868f-08b48f0241c7","Основни знания в уеб разработката","Започнете с този модул, за да дадете старт на пътуването си в уеб разработката.","free","1","https://ozwkuahulnwluilmnjjr.supabase.co/storage/v1/object/public/Application%20Images/modules/first-row-1.png"
"392ce9f2-4da1-4ae9-9c16-fa228a3a6f2c","Модул 3: React & NextJS","Овладей модерния React от начинаещи до напреднали! Next.js, Context API, React Query, Redux, Tailwind, усъвършенствани модели","free","5","https://ozwkuahulnwluilmnjjr.supabase.co/storage/v1/object/public/Application%20Images/modules/second-row-3.png"
"6c9d5807-fc77-483e-a0da-b67aa151626e","Модул 1: HTML + CSS","Научи модерните HTML5, CSS3 и уеб дизайн, като създадеш зашеметяващ уебсайт за своето портфолио!","free","3","https://ozwkuahulnwluilmnjjr.supabase.co/storage/v1/object/public/Application%20Images/modules/second-row-1.png"
"94affddc-2212-4525-84e7-5ddf9eca3894","Модул 2: JavaScript","Модерният курс по JavaScript за всеки! Овладей JavaScript с проекти, предизвикателства и теория.","free","4","https://ozwkuahulnwluilmnjjr.supabase.co/storage/v1/object/public/Application%20Images/modules/second-row-2.png"
"b4d73847-3a29-42a7-907c-619820875f0c","Добре дошъл (ЗАПОЧНИ ТУК)","Започни още днес. Няма време за губене!","free","0","https://ozwkuahulnwluilmnjjr.supabase.co/storage/v1/object/public/Application%20Images/modules/first-row-1.png"
"ddebb665-9976-4c6d-86f5-edb747f4ae0e","Ресурси","Този модул предоставя селекция от висококачествени ресурси, които ще ви помогнат да усъвършенствате знанията","free","2","https://ozwkuahulnwluilmnjjr.supabase.co/storage/v1/object/public/Application%20Images/modules/first-row-3.png"
"f196f651-4d14-4493-abc3-896012da1f42","Бонус модул: Дизайн","Тук ще изучим типография, цветове, снимки и илюстрации, иконки, сенки, бяло място, визуална йерархия, UX и работа с програма за дизайн Figma","free","6","https://ozwkuahulnwluilmnjjr.supabase.co/storage/v1/object/public/Application%20Images/modules/third-row-1.png"
